Player,Team,PA,BA,OBP,SLG,OPS,HR,SB,ISO,HR_rate,GAP_rate,SB_rate,BB_rate,SO_rate,Cluster,Hitter_Type
Mookie Betts,LAD,663.0,0.258,0.326,0.406,0.732,20.0,8.0,0.148,0.0301659125188536,0.0377073906485671,0.0120663650075414,0.0920060331825037,0.1025641025641025,2,교타·스피드형
Ian Happ,CHC,663.0,0.243,0.342,0.42,0.762,23.0,6.0,0.177,0.0346907993966817,0.0482654600301659,0.0090497737556561,0.1312217194570135,0.2277526395173454,1,거포형
Taylor Ward,LAA,663.0,0.228,0.317,0.475,0.792,36.0,4.0,0.2469999999999999,0.0542986425339366,0.0497737556561085,0.0060331825037707,0.1131221719457013,0.2639517345399698,1,거포형
Brice Turang,MIL,659.0,0.288,0.359,0.435,0.794,18.0,24.0,0.147,0.0273141122913505,0.0455235204855842,0.0364188163884673,0.1001517450682852,0.2276176024279211,2,교타·스피드형
William Contreras,MIL,659.0,0.26,0.355,0.399,0.754,17.0,6.0,0.139,0.0257966616084977,0.0424886191198786,0.0091047040971168,0.1274658573596358,0.1820940819423368,1,거포형
Eugenio Su?rez,2TM,657.0,0.228,0.298,0.526,0.824,49.0,4.0,0.298,0.0745814307458143,0.0426179604261796,0.0060882800608828,0.0700152207001522,0.2983257229832572,3,저타율 장타형
Cody Bellinger,NYY,656.0,0.272,0.334,0.48,0.813,29.0,13.0,0.2079999999999999,0.0442073170731707,0.0457317073170731,0.0198170731707317,0.086890243902439,0.1371951219512195,1,거포형
Riley Greene,DET,655.0,0.258,0.313,0.493,0.806,36.0,2.0,0.235,0.0549618320610687,0.048854961832061,0.0030534351145038,0.0702290076335877,0.3068702290076336,3,저타율 장타형
Trevor Story,BOS,654.0,0.263,0.308,0.433,0.741,25.0,31.0,0.1699999999999999,0.0382262996941896,0.0443425076452599,0.0474006116207951,0.0504587155963302,0.2691131498470948,3,저타율 장타형
J.P. Crawford,SEA,654.0,0.265,0.352,0.37,0.722,12.0,8.0,0.1049999999999999,0.018348623853211,0.036697247706422,0.0122324159021406,0.1131498470948012,0.1865443425076452,2,교타·스피드형
Bryan Reynolds,PIT,654.0,0.245,0.318,0.402,0.72,16.0,3.0,0.157,0.0244648318042813,0.0626911314984709,0.0045871559633027,0.0871559633027523,0.264525993883792,3,저타율 장타형
Jose Altuve,HOU,654.0,0.265,0.329,0.442,0.771,26.0,10.0,0.177,0.0397553516819571,0.0382262996941896,0.0152905198776758,0.0840978593272171,0.1666666666666666,1,거포형
Junior Caminero,TBR,653.0,0.264,0.311,0.535,0.846,45.0,7.0,0.271,0.0689127105666156,0.0428790199081163,0.010719754977029,0.0627871362940275,0.1914241960183767,1,거포형
Brandon Nimmo,NYM,652.0,0.262,0.324,0.436,0.76,25.0,13.0,0.174,0.0383435582822085,0.0414110429447852,0.0199386503067484,0.0766871165644171,0.2162576687116564,3,저타율 장타형
Gunnar Henderson,BAL,651.0,0.274,0.349,0.438,0.787,17.0,30.0,0.1639999999999999,0.0261136712749615,0.0599078341013824,0.0460829493087557,0.0952380952380952,0.2104454685099846,2,교타·스피드형
Yandy D?az,TBR,651.0,0.3,0.366,0.482,0.848,25.0,3.0,0.182,0.0384024577572964,0.0460829493087557,0.0046082949308755,0.0875576036866359,0.141321044546851,1,거포형
Seiya Suzuki,CHC,651.0,0.245,0.326,0.478,0.804,32.0,5.0,0.2329999999999999,0.0491551459293394,0.0522273425499231,0.0076804915514592,0.1090629800307219,0.2519201228878648,1,거포형
Nico Hoerner,CHC,649.0,0.297,0.345,0.394,0.739,7.0,29.0,0.097,0.0107858243451463,0.0508474576271186,0.0446841294298921,0.0600924499229583,0.0755007704160246,2,교타·스피드형
Spencer Torkelson,DET,649.0,0.24,0.333,0.456,0.789,31.0,2.0,0.216,0.0477657935285053,0.0431432973805855,0.0030816640986132,0.110939907550077,0.2604006163328197,1,거포형
Jackson Holliday,BAL,649.0,0.242,0.314,0.375,0.69,17.0,17.0,0.133,0.0261941448382126,0.036979969183359,0.0261941448382126,0.086286594761171,0.2157164869029275,0,저타율·저장타형
Pete Crow-Armstrong,CHC,647.0,0.247,0.287,0.481,0.768,31.0,35.0,0.2339999999999999,0.0479134466769706,0.0633693972179289,0.0540958268933539,0.0448222565687789,0.2395672333848531,3,저타율 장타형
Dansby Swanson,CHC,645.0,0.244,0.3,0.417,0.717,24.0,20.0,0.173,0.0372093023255813,0.041860465116279,0.0310077519379844,0.0728682170542635,0.2604651162790697,3,저타율 장타형
Christian Yelich,MIL,644.0,0.264,0.343,0.452,0.795,29.0,16.0,0.188,0.0450310559006211,0.0326086956521739,0.0248447204968944,0.0993788819875776,0.2593167701863354,1,거포형
Corbin Carroll,ARI,642.0,0.259,0.343,0.541,0.883,31.0,32.0,0.282,0.0482866043613707,0.0763239875389408,0.0498442367601246,0.1043613707165109,0.2383177570093458,1,거포형
Michael Harris II,ATL,641.0,0.249,0.268,0.409,0.678,20.0,20.0,0.1599999999999999,0.0312012480499219,0.0499219968798752,0.0312012480499219,0.0249609984399376,0.1996879875195008,3,저타율 장타형
Salvador Perez,KCR,641.0,0.236,0.284,0.446,0.729,30.0,0.0,0.21,0.046801872074883,0.0546021840873634,0.0,0.0436817472698908,0.1950078003120124,3,저타율 장타형
Christian Walker,HOU,640.0,0.238,0.297,0.421,0.717,27.0,2.0,0.183,0.0421875,0.0390625,0.003125,0.0625,0.2765625,3,저타율 장타형
Trea Turner,PHI,639.0,0.304,0.355,0.457,0.812,15.0,36.0,0.153,0.0234741784037558,0.0594679186228482,0.056338028169014,0.0672926447574334,0.1674491392801252,2,교타·스피드형
CJ Abrams,WSN,635.0,0.257,0.315,0.433,0.748,19.0,31.0,0.176,0.0299212598425196,0.0629921259842519,0.0488188976377952,0.058267716535433,0.1968503937007874,2,교타·스피드형
Lawrence Butler,ATH,630.0,0.234,0.306,0.404,0.71,21.0,22.0,0.17,0.0333333333333333,0.0507936507936507,0.0349206349206349,0.0936507936507936,0.2841269841269841,3,저타율 장타형
Bo Bichette,TOR,628.0,0.311,0.357,0.483,0.84,18.0,4.0,0.172,0.0286624203821656,0.071656050955414,0.0063694267515923,0.0636942675159235,0.1449044585987261,2,교타·스피드형
Gleyber Torres,DET,628.0,0.256,0.358,0.387,0.745,16.0,4.0,0.131,0.0254777070063694,0.0350318471337579,0.0063694267515923,0.1353503184713375,0.160828025477707,1,거포형
Freddie Freeman,LAD,627.0,0.295,0.367,0.502,0.869,24.0,6.0,0.207,0.0382775119617224,0.0653907496012759,0.0095693779904306,0.0956937799043062,0.2041467304625199,1,거포형
